,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
document_68,ragu,harga,murah,banget,liat,komentnya,positif,banget,suka,beli,tpi,takut,nyesel,suka,banget,harga,kualitas,oke,banget,so,kali,beli,langsung,smua,gada,rusakbikin,kecewa,omgt,trims,reseler,kurir,amanah,banget,,,,,,,
document_69,bahan,oke,ekspektasi,tu,lenga,cantung,gitu,cantung,whehe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_70,kecewa,bnget,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_71,pese,cardigan,batwing,pasmina,kecewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_72,baju,robek,fatal,banget,sumpah,kecewa,parah,toko,kali,teliti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_73,bagus,bahan,tipis,dn,keset,gitu,lenga,pendek,sesi,doang,sesuai,harga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_74,kecewasaya,pesan,hitam,abu,abu,sampe,kali,teliti,kaksoalnya,orang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_75,kain,mayan,ukur,pas,si,badan,tpy,cacat,bolong,pundak,untung,g,liat,tpy,gp,,,,,,,,,,,,,,,,,,,,,,,,,
document_76,kirim,baju,aja,jilbab,adapadahal,pesan,jilbab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_77,gila,inisih,cardigan,nyaman,enak,banget,pergi,pergi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_78,respon,seller,buruk,dichat,balas,dichat,aju,batal,tolak,sat,barang,proses,kirim,respon,kirim,kai,yaiyalah,oiya,leher,cardinganya,cutinganya,aneh,banget,mending,gausah,,,,,,,,,,,,,,,
document_79,cepet,banget,kirim,kudus,jawa,bekas,hari,doang,sampe,kaget,neng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_80,gila,bgus,bngt,terimakasih,poko,bkl,langanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_81,aneh,baju,bikin,emosi,pas,banget,d,badan,ngantung,plus,nyekek,banget,d,leher,klok,d,pakek,tarik,lenga,pas,d,pakek,baju,nyesel,banget,,,,,,,,,,,,,,,
document_82,leng,pendek,bngt,nerawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_84,kirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_85,sen,kirim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_86,sesuai,motif,beda,banget,foto,kancing,notabene,hias,aja,lurus,kecewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_87,bagus,banget,barang,foto,asli,kirim,jg,cepat,sy,krn,review,byk,blg,smpe,mgu,cepat,makasih,seller,cus,beli,beli,jgn,ragu,mahal,tp,barang,mg,ngak,murah,,,,,,,,,,,
document_88,kirim,banget,trs,gambar,warna,cream,muda,gitu,pas,warna,putih,dih,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_89,lihat,note,sy,bunga,warna,biru,bunga,warna,putih,sy,tau,baca,note,tau,diam,info,main,kirim,,,,,,,,,,,,,,,,,,,,,,
document_90,gila,bagus,banget,nyesel,stok,tingal,cus,gw,pesan,makasih,sucses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_91,corak,pas,beda,foto,bahan,jatuh,adem,tipis,nerawang,pas,banget,tingi,bnya,kirim,gapapa,barang,selamat,thank,you,,,,,,,,,,,,,,,,,,,,,
document_92,baju,cantik,ngak,kecewa,pokok,bahan,adem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_93,cepat,kirim,lumayan,lambat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_94,pengirimanya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_95,kali,beli,bagus,ongkir,kalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_96,baju,bagus,banget,tanganya,pendek,pas,pokok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_97,maaf,foto,aga,lenceng,kemeja,oke,pendek,lengan,bahan,oke,suka,ama,kemeja,aga,kecil,hehe,,,,,,,,,,,,,,,,,,,,,,,,
document_98,cantik,baju,udh,kali,pesan,foto,pesan,baju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_99,bagus,banget,asli,ragu,chekout,gys,map,sempet,ngefoto,kemeja,udah,keburu,dipake,sma,spu,,,,,,,,,,,,,,,,,,,,,,,,,
document_100,baju,pendek,bnget,lenga,sy,fikir,jd,dipake,penguna,hijab,kain,tipis,bget,terawang,jahit,kasar,,,,,,,,,,,,,,,,,,,,,,,,
document_101,bahan,jatoh,adem,gede,enga,hihi,maciw,pesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_102,wkwkw,kocak,produk,baju,sesuai,dg,gambar,tanganya,pendek,gabisa,gabilang,aneh,banget,baju,,,,,,,,,,,,,,,,,,,,,,,,,,
document_103,bagus,pol,model,tangan,kayak,liat,bngt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_104,alhamdulilah,udah,adem,parah,bahan,tanganya,rada,gede,lenga,tp,model,sukak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_105,tiga,kali,beli,cutingnya,cocok,banget,bikin,liat,kurus,wey,skrg,harga,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_106,kirim,cepet,banget,bah,adem,rayon,nga,tipis,gitu,suka,pesan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_107,plis,inimah,nyesel,beli,doang,bahan,adem,pis,nga,gerah,cuy,mikir,gede,tpi,liat,montok,parah,cpt,banget,hari,beli,warna,sage,,,,,,,,,,,,,,,,,
document_108,bagus,banget,racun,kakak,alda,lengan,model,oversize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_109,bagus,banget,langanan,bosan,bahan,adem,sejuk,nerawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_110,xnya,beli,top,harga,murah,murah,kualitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
document_111,keren,nih,bahan,adem,sempet,salah,beli,toko,belah,model,beda,bahan,god,seller,recomended,banget,,,,,,,,,,,,,,,,,,,,,,,,
document_112,warna,kayak,foto,warna,tua,foto,duh,mdh,cust,kecewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
